gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000253476	AC091185.1	-3.0305	0.0096	down	UB_T10_T12_vs_T3_T5
ENSG00000054356	PTPRN	-2.4367	0	down	UB_T10_T12_vs_T3_T5
ENSG00000188158	NHS	2.3887	0.0214	up	UB_T10_T12_vs_T3_T5
ENSG00000155816	FMN2	3.3738	0	up	UB_T10_T12_vs_T3_T5
ENSG00000214518	KRTAP2-2	2.8134	0.0315	up	UB_T10_T12_vs_T3_T5
ENSG00000204131	NHSL2	-2.3258	0	down	UB_T10_T12_vs_T3_T5
ENSG00000136014	USP44	2.0156	0.0067	up	UB_T10_T12_vs_T3_T5
ENSG00000006210	CX3CL1	3.4994	0.0017	up	UB_T10_T12_vs_T3_T5
ENSG00000129465	RIPK3	2.8224	0.0086	up	UB_T10_T12_vs_T3_T5
ENSG00000188487	INSC	2.9136	0	up	UB_T10_T12_vs_T3_T5
ENSG00000177990	DPY19L2	2.3273	5e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000236772	AL034550.1	-2.5289	0.0447	down	UB_T10_T12_vs_T3_T5
ENSG00000186197	EDARADD	-4.1755	0.0385	down	UB_T10_T12_vs_T3_T5
ENSG00000203727	SAMD5	-2.1298	0	down	UB_T10_T12_vs_T3_T5
ENSG00000198901	PRC1	-2.0591	0.0018	down	UB_T10_T12_vs_T3_T5
ENSG00000261762	AC027228.2	-2.3762	3e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000153404	PLEKHG4B	-3.046	0.0299	down	UB_T10_T12_vs_T3_T5
ENSG00000163735	CXCL5	2.3753	0.0011	up	UB_T10_T12_vs_T3_T5
ENSG00000267336	EIF4A2P1	-3.8974	0.0263	down	UB_T10_T12_vs_T3_T5
ENSG00000144057	ST6GAL2	-3.2581	0	down	UB_T10_T12_vs_T3_T5
ENSG00000162654	GBP4	3.5387	0.0012	up	UB_T10_T12_vs_T3_T5
ENSG00000169594	BNC1	-2.0595	0	down	UB_T10_T12_vs_T3_T5
ENSG00000231156	AC093702.1	3.3711	0.0028	up	UB_T10_T12_vs_T3_T5
ENSG00000159871	LYPD5	2.8557	0	up	UB_T10_T12_vs_T3_T5
ENSG00000111339	ART4	2.667	0.0362	up	UB_T10_T12_vs_T3_T5
ENSG00000173391	OLR1	2.681	0.0267	up	UB_T10_T12_vs_T3_T5
ENSG00000006432	MAP3K9	-3.2292	4e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000186897	C1QL4	3.8101	0.0032	up	UB_T10_T12_vs_T3_T5
ENSG00000162415	ZSWIM5	2.0833	7e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000002079	MYH16	-2.4287	0.0033	down	UB_T10_T12_vs_T3_T5
ENSG00000104044	OCA2	2.9193	0.0093	up	UB_T10_T12_vs_T3_T5
ENSG00000081041	CXCL2	2.0063	0	up	UB_T10_T12_vs_T3_T5
ENSG00000120594	PLXDC2	-2.1946	0.0058	down	UB_T10_T12_vs_T3_T5
ENSG00000149970	CNKSR2	-2.369	0.0012	down	UB_T10_T12_vs_T3_T5
ENSG00000111728	ST8SIA1	2.3149	0.0334	up	UB_T10_T12_vs_T3_T5
ENSG00000162981	FAM84A	2.0286	3e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000103449	SALL1	2.1917	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000049249	TNFRSF9	2.9951	2e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000109193	SULT1E1	-2.764	0	down	UB_T10_T12_vs_T3_T5
ENSG00000117525	F3	2.2828	2e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000169067	ACTBL2	2.0533	0	up	UB_T10_T12_vs_T3_T5
ENSG00000232810	TNF	3.6523	0.0051	up	UB_T10_T12_vs_T3_T5
ENSG00000073737	DHRS9	3.522	0	up	UB_T10_T12_vs_T3_T5
ENSG00000159184	HOXB13	4.3134	0	up	UB_T10_T12_vs_T3_T5
ENSG00000126778	SIX1	3.8157	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000155966	AFF2	-5.5307	0	down	UB_T10_T12_vs_T3_T5
ENSG00000271387	AL445228.2	-2.7891	0.0483	down	UB_T10_T12_vs_T3_T5
