gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000108932	SLC16A6	2.925	0.009	up	AD_T10_T12_vs_T3_T5
ENSG00000284946	AC068831.7	-2.2668	0	down	AD_T10_T12_vs_T3_T5
ENSG00000197632	SERPINB2	3.9212	0	up	AD_T10_T12_vs_T3_T5
ENSG00000101638	ST8SIA5	-3.8898	0.0024	down	AD_T10_T12_vs_T3_T5
ENSG00000083454	P2RX5	3.5889	0	up	AD_T10_T12_vs_T3_T5
ENSG00000139318	DUSP6	2.0337	0	up	AD_T10_T12_vs_T3_T5
ENSG00000129951	PLPPR3	2.5936	0.0036	up	AD_T10_T12_vs_T3_T5
ENSG00000256292	LINC02376	3.7431	0.0416	up	AD_T10_T12_vs_T3_T5
ENSG00000155011	DKK2	2.4987	0	up	AD_T10_T12_vs_T3_T5
ENSG00000019582	CD74	2.3879	0	up	AD_T10_T12_vs_T3_T5
ENSG00000111206	FOXM1	-2.3599	0	down	AD_T10_T12_vs_T3_T5
ENSG00000176928	GCNT4	-2.0187	0.0139	down	AD_T10_T12_vs_T3_T5
ENSG00000113389	NPR3	3.0409	0	up	AD_T10_T12_vs_T3_T5
ENSG00000230882	AC005077.4	2.5993	0.0041	up	AD_T10_T12_vs_T3_T5
ENSG00000170271	FAXDC2	-2.5471	4e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000237596	AL138828.1	4.3194	0.0087	up	AD_T10_T12_vs_T3_T5
ENSG00000168032	ENTPD3	3.0516	5e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000271344	AC018638.6	3.6654	0.0056	up	AD_T10_T12_vs_T3_T5
ENSG00000203780	FANK1	2.2233	1e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000119938	PPP1R3C	2.7474	0	up	AD_T10_T12_vs_T3_T5
ENSG00000167371	PRRT2	-2.5748	0.0263	down	AD_T10_T12_vs_T3_T5
ENSG00000148773	MKI67	-2.3126	0	down	AD_T10_T12_vs_T3_T5
ENSG00000205835	GMNC	2.1244	0.0095	up	AD_T10_T12_vs_T3_T5
ENSG00000104237	RP1	3.061	0	up	AD_T10_T12_vs_T3_T5
